wine_type,wine_id,food_item,food_id
Syrah/Shiraz,23,smoked sausage,34
Grenache,9,charcuterie board,10
Madeira,12,lemon tart,24
Cabernet Sauvignon,2,roast lamb,32
Viognier,26,duck à l’orange,17
Pinot Noir,16,citrus salad,15
Albariño,0,oysters,29
Sangiovese,20,citrus salad,15
Pinot Noir,16,cheese platter,11
Grüner Veltliner,10,citrus salad,15
Grenache,9,bacon burger,4
Sangiovese,20,chicken curry,13
Sauternes,21,lemon tart,24
Cava,3,charcuterie board,10
Albariño,0,vegetable curry,37
Sangiovese,20,citrus salad,15
Viognier,26,alfredo pasta,3
Riesling (dry),19,Thai curry,2
Chardonnay,5,bacon burger,4
Syrah/Shiraz,23,roast lamb,32
Chardonnay,5,bacon burger,4
Viognier,26,roast chicken with herbs,31
Grüner Veltliner,10,shrimp scampi,33
Nebbiolo,15,Thai curry,2
Grüner Veltliner,10,stir-fried tofu,36
Port,17,cheesecake,12
Cabernet Sauvignon,2,beef stew,7
Viognier,26,chicken curry,13
Cabernet Sauvignon,2,grilled burger,21
Ice Wine,11,roast chicken with herbs,31
Gewürztraminer,8,Indian vindaloo,0
Pinot Noir,16,stir-fried tofu,36
Merlot,14,bacon burger,4
Sangiovese,20,mushroom risotto,27
Pinot Noir,16,stir-fried tofu,36
Champagne,4,shrimp scampi,33
Torrontés,25,Thai curry,2
Sauternes,21,grilled salmon,23
Nebbiolo,15,Thai curry,2
Madeira,12,mac and cheese,25
Ice Wine,11,sorbet,35
Ice Wine,11,oysters,29
Syrah/Shiraz,23,smoked sausage,34
Nebbiolo,15,grilled ribeye,22
Port,17,cheese platter,11
Chardonnay,5,cream of mushroom soup,16
Grenache,9,olives and cheese,28
Madeira,12,mac and cheese,25
Gewürztraminer,8,mac and cheese,25
Sangiovese,20,chicken curry,13
Ice Wine,11,chicken curry,13
Riesling (dry),19,Sichuan noodles,1
Sangiovese,20,mac and cheese,25
Cabernet Sauvignon,2,bbq brisket,5
Viognier,26,chicken curry,13
Syrah/Shiraz,23,grilled burger,21
Gewürztraminer,8,Indian vindaloo,0
Cabernet Sauvignon,2,roast lamb,32
Merlot,14,bacon burger,4
Sauvignon Blanc,22,mushroom risotto,27
Cava,3,oysters,29
Malbec,13,grilled burger,21
Chardonnay,5,fondue,19
Sauternes,21,vegetable curry,37
Chardonnay,5,bacon burger,4
Pinot Noir,16,roast chicken with herbs,31
Ice Wine,11,charcuterie board,10
Ice Wine,11,bacon burger,4
Ice Wine,11,sorbet,35
Nebbiolo,15,grilled ribeye,22
Merlot,14,bacon burger,4
Chardonnay,5,cheese platter,11
Grüner Veltliner,10,stir-fried tofu,36
Syrah/Shiraz,23,roast lamb,32
Madeira,12,fondue,19
Nebbiolo,15,grilled ribeye,22
Syrah/Shiraz,23,bbq ribs,6
Champagne,4,olives and cheese,28
Nebbiolo,15,carbonara,9
Malbec,13,grilled burger,21
Pinot Noir,16,citrus salad,15
Nebbiolo,15,bbq brisket,5
Nebbiolo,15,bbq brisket,5
Cabernet Sauvignon,2,grilled burger,21
Zinfandel,28,bbq ribs,6
Cabernet Sauvignon,2,beef stew,7
Gewürztraminer,8,Sichuan noodles,1
Champagne,4,shrimp scampi,33
Viognier,26,mac and cheese,25
Riesling (dry),19,Sichuan noodles,1
Sangiovese,20,chicken curry,13
Sangiovese,20,mushroom risotto,27
Nebbiolo,15,bbq brisket,5
Sauternes,21,duck à l’orange,17
Grenache,9,cream of mushroom soup,16
Cabernet Sauvignon,2,bbq brisket,5
Malbec,13,bbq brisket,5
Cabernet Sauvignon,2,fondue,19
Pinot Noir,16,chicken curry,13
Malbec,13,smoked sausage,34
Ice Wine,11,chicken curry,13
Cava,3,oysters,29
Grenache,9,pork tenderloin,30
Grüner Veltliner,10,chocolate mousse,14
Chardonnay,5,chicken curry,13
Port,17,fondue,19
Gewürztraminer,8,Thai curry,2
Port,17,cheese platter,11
Sauvignon Blanc,22,mushroom risotto,27
Chardonnay,5,fondue,19
Merlot,14,pork tenderloin,30
Pinot Noir,16,beef stew,7
Champagne,4,shrimp scampi,33
Malbec,13,bbq ribs,6
Ice Wine,11,bbq ribs,6
Cabernet Sauvignon,2,grilled ribeye,22
Syrah/Shiraz,23,smoked sausage,34
Chardonnay,5,carbonara,9
Merlot,14,carbonara,9
Merlot,14,mixed nuts,26
Viognier,26,bacon burger,4
Syrah/Shiraz,23,roast lamb,32
Sauternes,21,chocolate mousse,14
Pinot Noir,16,citrus salad,15
Port,17,fondue,19
Nebbiolo,15,Sichuan noodles,1
Zinfandel,28,grilled burger,21
Viognier,26,carbonara,9
Malbec,13,roast lamb,32
Sauternes,21,pork tenderloin,30
Grenache,9,olives and cheese,28
Cabernet Sauvignon,2,roast lamb,32
Champagne,4,grilled salmon,23
Sauternes,21,stir-fried tofu,36
Chardonnay,5,bacon burger,4
Grenache,9,cream of mushroom soup,16
Sauvignon Blanc,22,shrimp scampi,33
Merlot,14,olives and cheese,28
Champagne,4,fish tacos,18
Riesling (dry),19,roast lamb,32
Riesling (dry),19,Thai curry,2
Zinfandel,28,bbq ribs,6
Sangiovese,20,caprese salad,8
Syrah/Shiraz,23,smoked sausage,34
Zinfandel,28,smoked sausage,34
Champagne,4,fish tacos,18
Grüner Veltliner,10,mushroom risotto,27
Grenache,9,carbonara,9
Nebbiolo,15,roast lamb,32
Gewürztraminer,8,Thai curry,2
Chardonnay,5,cheese platter,11
Grüner Veltliner,10,vegetable curry,37
Albariño,0,oysters,29
Malbec,13,beef stew,7
Pinot Noir,16,mushroom risotto,27
Merlot,14,pork tenderloin,30
Nebbiolo,15,grilled ribeye,22
Port,17,cheese platter,11
Albariño,0,cheesecake,12
Cabernet Sauvignon,2,roast lamb,32
Malbec,13,bbq brisket,5
Grüner Veltliner,10,mushroom risotto,27
Merlot,14,cheese platter,11
Grenache,9,bacon burger,4
Sauvignon Blanc,22,alfredo pasta,3
Cava,3,grilled salmon,23
Port,17,cheese platter,11
Cabernet Sauvignon,2,grilled ribeye,22
Viognier,26,mac and cheese,25
Nebbiolo,15,beef stew,7
Viognier,26,carbonara,9
Grüner Veltliner,10,stir-fried tofu,36
Syrah/Shiraz,23,beef stew,7
Cabernet Sauvignon,2,grilled ribeye,22
Ice Wine,11,carbonara,9
Sauternes,21,chicken curry,13
Merlot,14,pork tenderloin,30
Barbera,1,mac and cheese,25
Pinot Noir,16,citrus salad,15
Sauternes,21,fish tacos,18
Gewürztraminer,8,Sichuan noodles,1
Cabernet Sauvignon,2,bbq ribs,6
Champagne,4,oysters,29
Nebbiolo,15,grilled ribeye,22
Riesling (dry),19,Indian vindaloo,0
Port,17,lemon tart,24
Champagne,4,fish tacos,18
Nebbiolo,15,Sichuan noodles,1
Sauternes,21,lemon tart,24
Riesling (dry),19,Sichuan noodles,1
Cabernet Sauvignon,2,grilled burger,21
Viognier,26,bacon burger,4
Pinot Noir,16,vegetable curry,37
Grenache,9,olives and cheese,28
Syrah/Shiraz,23,bbq ribs,6
Albariño,0,oysters,29
Grüner Veltliner,10,stir-fried tofu,36
Viognier,26,duck à l’orange,17
Syrah/Shiraz,23,beef stew,7
Merlot,14,carbonara,9
Port,17,chocolate mousse,14
Pinot Noir,16,roast chicken with herbs,31
Sauternes,21,mushroom risotto,27
Riesling (dry),19,Indian vindaloo,0
Riesling (dry),19,Thai curry,2
Chardonnay,5,duck à l’orange,17
Sauternes,21,duck à l’orange,17
Ice Wine,11,mushroom risotto,27
Sangiovese,20,stir-fried tofu,36
Port,17,mac and cheese,25
Merlot,14,carbonara,9
Syrah/Shiraz,23,grilled ribeye,22
Sangiovese,20,chicken curry,13
Albariño,0,vegetable curry,37
Viognier,26,roast chicken with herbs,31
Ice Wine,11,bacon burger,4
Grenache,9,olives and cheese,28
